"","x"
"1",1182.16893694851
"2",1185.5324426726
"3",1178.74272436132
"4",1176.81896412339
"5",1116.96058264705
"6",1149.67082342395
"7",1150.3189521099
"8",1146.49381906835
"9",1118.41144767845
"10",1109.03920857731
"11",1099.88975856791
"12",1102.00680555959
"13",1141.64470312336
"14",1161.23161275739
"15",1153.91494333691
"16",1239.97764576404
"17",1213.24482923158
"18",1199.91182384719
"19",1218.92295032431
"20",1206.67201348074
"21",1218.37835738888
"22",1219.94454222359
"23",1221.82622102902
"24",1226.67759834937
"25",1278.45816869833
"26",1230.91580844364
"27",1213.98762052987
"28",1225.29359650561
"29",1222.81822295421
"30",1170.04533296975
"31",1167.00394453323
"32",1192.08455868373
"33",1162.40570383448
"34",1153.75034404073
"35",1160.80733506323
"36",1152.199796351
"37",1135.42222800525
"38",1107.8592494325
"39",1086.5575390237
"40",1066.49480283642
"41",1049.22662079694
"42",1092.79362058887
"43",1127.1525883024
"44",1103.58326581378
"45",1164.58714778954
"46",1169.73959783233
"47",1143.94048535112
"48",1119.2121997488
"49",1148.5869183
"50",1148.65256113555
"51",1139.07151856921
"52",1151.36796796085
"53",1156.49288908196
"54",1156.19125389465
"55",1149.68681850322
"56",1136.17716717326
"57",1156.93620903928
"58",1196.95714184552
"59",1207.54725898301
"60",1194.86613328101
"61",1258.44495619949
"62",1225.52824181942
"63",1247.02729284547
"64",1248.8755537451
"65",1264.44587697399
"66",1261.51234881415
"67",1240.85577157737
"68",1300.10313080342
"69",1230.35939798629
"70",1279.71993260581
"71",1279.86892696269
"72",1249.97967627189
"73",1224.28233368821
"74",1244.28024125483
"75",1259.00429269778
"76",1267.96262920362
"77",1261.72092258745
"78",1277.75624799149
"79",1267.61895269677
"80",1289.42293115261
"81",1287.25497076347
"82",1275.58895158343
"83",1305.61998885327
"84",1318.98216937483
"85",1345.06244501502
"86",1322.00268088072
"87",1304.387223707
"88",1292.13263235916
"89",1305.22399707564
"90",1321.87396424544
"91",1348.01885340744
"92",1347.67976416339
"93",1392.19408839756
"94",1368.35187268245
"95",1352.57197807964
"96",1398.26130858426
"97",1372.10064038106
"98",1389.54098222699
"99",1396.55908245352
"100",1424.30317936598
"101",1371.59155722368
"102",1424.77564182506
"103",1446.30136043158
"104",1390.1562047332
"105",1407.73836654776
"106",1429.87255664345
"107",1443.25478537882
"108",1413.71303308094
"109",1443.7286773893
"110",1463.73556086735
"111",1465.57220023863
"112",1494.80390010524
"113",1477.00003622956
"114",1447.77481187388
"115",1441.77236857199
"116",1399.56991004738
"117",1409.90925764893
"118",1460.57855082537
"119",1464.34517071009
"120",1472.71989793745
"121",1486.38413085735
"122",1440.89859362879
"123",1460.14245462577
"124",1470.93473378659
"125",1510.34425457998
"126",1493.71217384444
"127",1471.00477856857
"128",1501.2455958657
"129",1497.59698909316
"130",1497.22834679272
"131",1506.54000937954
"132",1495.1937776449
"133",1448.25537147559
"134",1481.0992306845
"135",1501.86501410397
"136",1483.97135265767
"137",1500.52766841465
"138",1505.00736241692
"139",1508.62384161217
"140",1490.40997894055
"141",1501.06462065067
"142",1472.36334270385
"143",1414.32614112283
"144",1429.8874439999
"145",1377.87237894064
"146",1339.82015756742
"147",1317.56885192106
"148",1357.98749385005
"149",1392.65559682085
"150",1394.47242769368
"151",1407.93086384117
"152",1387.97606077267
"153",1378.15254640493
"154",1371.1150552717
"155",1373.07496812087
"156",1322.05275055944
"157",1265.87468181578
"158",1316.24999396945
"159",1330.48397885876
"160",1315.7372646759
"161",1331.28014496177
"162",1333.7751792117
"163",1329.32732851588
"164",1361.40588300005
"165",1406.31982957208
"166",1339.70807561311
"167",1324.53697469336
"168",1341.08430335849
"169",1366.62356319983
"170",1324.47955204277
"171",1323.05139639877
"172",1245.67910742971
"173",1262.14852062362
"174",1286.09881784382
"175",1328.79487725298
"176",1290.07931749293
"177",1247.17626502065
"178",1292.08298062522
"179",1283.51064788527
"180",1305.63852713202
"181",1311.32083632041
"182",1319.51275156525
"183",1313.06498799241
"184",1330.13901385484
"185",1317.08471858629
"186",1273.46703212842
"187",1275.55456047532
"188",1273.15853398031
"189",1185.34530654358
"190",1062.3146480822
"191",1162.3824072625
"192",1161.08510803967
"193",1188.86904338448
